FRED Abbreviation,Main Variable,Unit,Frequency,Source,Retrieved From,,,,,,,,,,,,,
FEDFUNDS,Federal Funds (Effective) Rate,Percent,Monthly,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,,,,,,
GDP,US Nominal GDP,$USD Billions,Quarterly,U.S. Bureau of Economic Analysis,FRED,,,,,,,,,,,,,
GDPC1,US Real GDP,Billions of Chained 2012 Dollars,Quarterly,U.S. Bureau of Economic Analysis,FRED,,,,,,,,,,,,,
GPDI,Gross Private Domestic Investment,$USD Billions,Quarterly,U.S. Bureau of Economic Analysis,FRED,,,,,,,,,,,,,
GS1,1-Year T-Rate,Percent,Monthly,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,,,,,,
GS10,10-Year T-Rate,Percent,Monthly,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,,,,,,
GS3,3-Year T-Rate,Percent,Monthly,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,,,,,,
GS5,5-Year T-Rate,Percent,Monthly,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,,,,,,
HCCSDODNS,"Household and Nonprofit Organisations; Consumer Credit, Liability, Level",$USD Billions,Quartely,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,,,,,,
IMPGS,Imports,$USD Billions,Quarterly,U.S. Bureau of Economic Analysis,FRED,,,,,,,,,,,,,
INDPRO,Industrial Production,Index 2017=100,Monthly,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,,,,,,
INVEST,Securities in Bank Credit at All Commercial Banks,$USD Billions,Monthly,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,,,,,,
IRLTLT01USM156N,10-Year Long-Term Government Bond Yields (Long-term interest rate proxy),Percent,Monthly,Organization for Economic Co-operation and Development,FRED,,,,,,,,,,,,,
ISRATIOx,Total Business: Inventories to Sales Ratio,Ratio,Monthly,U.S. Census Bureau,FRED,,,,,,,,,,,,,
M1SL,M1 Money Stock,$USD Billions,Monthly,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,,,,,,
M2SL,M2 Money Stock,$USD Billions,Monthly,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,,,,,,
NETEXP,Net Exports (Balance of Trade),$USD Billions,Quarterly,U.S. Bureau of Economic Analysis,FRED,,,,,,,,,,,,,
NONREVSL,Total Nonrevolving Credit,$USD Billions,Monthly,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,,,,,,
PAYEMS,Total NFP,Thousands of Persons,Monthly,U.S. Bureau of Labor Statistics,FRED,,,,,,,,,,,,,
PCE,Personal Consumption Expenditures,$USD Billions,Monthly,U.S. Bureau of Economic Analysis,FRED,,,,,,,,,,,,,
PERMIT,New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Total Units,Thousands of Units,Monthly,U.S. Census Bureau -  U.S. Department of Housing and Urban Development,FRED,,,,,,,,,,,,,
POPTHM,Population,Thousands of Persons,Monthly,U.S. Bureau of Economic Analysis,FRED,,,,,,,,,,,,,
PPIACO,Producer Price Index by Commodity: All Commodities,Index 1982=100,Monthly,U.S. Bureau of Labor Statistics,FRED,,,,,,,,,,,,,
PSAVERT,Personal Saving Rate,Percent,Monthly,U.S. Bureau of Economic Analysis,FRED,,,,,,,,FRED Abbreviation,Main Variable,Unit,Frequency,Source,Retrieved From
REALLN,Real Estate Loans at All Commercial Banks,$USD Billions,Monthly,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,A576RC1,"Compensation of Employees, Received: Wage and Salary Disbursements",$USD Billions,Monthly,U.S. Bureau of Economic Analysis,FRED
RPI,Real Personal Income (PIX),$USD Billions of Chained 2012 Dollars,Monthly,U.S. Bureau of Economic Analysis,FRED,,,,,,,,AAA,Moody's Seasoned Aaa Corporate Bond Yield,Percent,Monthly,Moody's,FRED
spx,S&P 500 Returns,,Monthly,Shiller's website,,,,,,,,,AMDMNOx,New Orders for Durable Goods,$USD Billions,Monthly,Federal Reserve Bank of St. Louis,FRED
spx_div_yield,S&P 500 Dividend Yield,,Monthly,Shiller's website,,,,,,,,,AMDMUOx,Unfilled Orders for Durable Goods,$USD Millions,Monthly,U.S. Census Bureau,FRED
